#log n	log T	log cool/n2	log heat/n2	H1 frac	He1 frac	He2 frac
  3.00	 1.00	    -28.891	    -27.276	 0.998	 1.000	 0.000
  3.00	 1.10	    -28.666	    -27.276	 0.998	 1.000	 0.000
  3.00	 1.20	    -28.469	    -27.276	 0.998	 1.000	 0.000
  3.00	 1.30	    -28.293	    -27.276	 0.998	 1.000	 0.000
  3.00	 1.40	    -28.137	    -27.276	 0.998	 1.000	 0.000
  3.00	 1.50	    -27.998	    -27.277	 0.997	 1.000	 0.000
  3.00	 1.60	    -27.869	    -27.277	 0.997	 1.000	 0.000
  3.00	 1.70	    -27.743	    -27.277	 0.997	 1.000	 0.000
  3.00	 1.80	    -27.606	    -27.277	 0.997	 1.000	 0.000
  3.00	 1.90	    -27.447	    -27.277	 0.996	 1.000	 0.000
  3.00	 2.00	    -27.259	    -27.277	 0.996	 1.000	 0.000
  3.00	 2.10	    -27.055	    -27.277	 0.996	 1.000	 0.000
  3.00	 2.20	    -26.850	    -27.277	 0.996	 1.000	 0.000
  3.00	 2.30	    -26.658	    -27.277	 0.995	 1.000	 0.000
  3.00	 2.40	    -26.484	    -27.277	 0.995	 1.000	 0.000
  3.00	 2.50	    -26.333	    -27.278	 0.994	 1.000	 0.000
  3.00	 2.60	    -26.200	    -27.278	 0.994	 1.000	 0.000
  3.00	 2.70	    -26.083	    -27.278	 0.993	 1.000	 0.000
  3.00	 2.80	    -25.979	    -27.278	 0.993	 1.000	 0.000
  3.00	 2.90	    -25.885	    -27.278	 0.992	 1.000	 0.000
  3.00	 3.00	    -25.800	    -27.278	 0.991	 1.000	 0.000
  3.00	 3.10	    -25.721	    -27.278	 0.991	 1.000	 0.000
  3.00	 3.20	    -25.650	    -27.278	 0.990	 0.999	 0.001
  3.00	 3.30	    -25.587	    -27.277	 0.990	 0.999	 0.001
  3.00	 3.40	    -25.523	    -27.277	 0.990	 0.999	 0.001
  3.00	 3.50	    -25.452	    -27.276	 0.989	 0.999	 0.001
