# log n	log T	log cool/n2	log heat/n2
 -3.00	 1.00	    -25.658	    -21.904
 -3.00	 1.10	    -25.551	    -21.940
 -3.00	 1.20	    -25.401	    -21.978
 -3.00	 1.30	    -25.208	    -22.018
 -3.00	 1.40	    -24.996	    -22.058
 -3.00	 1.50	    -24.795	    -22.101
 -3.00	 1.60	    -24.620	    -22.145
 -3.00	 1.70	    -24.472	    -22.190
 -3.00	 1.80	    -24.347	    -22.237
 -3.00	 1.90	    -24.236	    -22.285
 -3.00	 2.00	    -24.130	    -22.334
 -3.00	 2.10	    -24.027	    -22.384
 -3.00	 2.20	    -23.926	    -22.435
 -3.00	 2.30	    -23.832	    -22.488
 -3.00	 2.40	    -23.748	    -22.541
 -3.00	 2.50	    -23.677	    -22.595
 -3.00	 2.60	    -23.616	    -22.650
 -3.00	 2.70	    -23.566	    -22.705
 -3.00	 2.80	    -23.526	    -22.761
 -3.00	 2.90	    -23.494	    -22.817
 -3.00	 3.00	    -23.471	    -22.874
 -3.00	 3.10	    -23.455	    -22.930
 -3.00	 3.20	    -23.446	    -22.987
 -3.00	 3.30	    -23.444	    -23.043
 -3.00	 3.40	    -23.447	    -23.100
 -3.00	 3.50	    -23.451	    -23.156
 -3.00	 3.60	    -23.451	    -23.211
 -3.00	 3.70	    -23.438	    -23.266
 -3.00	 3.80	    -23.403	    -23.320
 -3.00	 3.90	    -23.323	    -23.374
 -3.00	 4.00	    -23.190	    -23.426
 -3.00	 4.10	    -23.012	    -23.478
 -3.00	 4.20	    -22.797	    -23.528
 -3.00	 4.30	    -22.549	    -23.583
 -3.00	 4.40	    -22.299	    -23.657
 -3.00	 4.50	    -22.088	    -23.766
 -3.00	 4.60	    -21.917	    -23.879
 -3.00	 4.70	    -21.743	    -23.966
 -3.00	 4.80	    -21.551	    -24.051
 -3.00	 4.90	    -21.371	    -24.255
 -3.00	 5.00	    -21.293	    -24.603
 -3.00	 5.10	    -21.330	    -24.862
 -3.00	 5.20	    -21.329	    -24.999
 -3.00	 5.30	    -21.303	    -25.101
 -3.00	 5.40	    -21.295	    -25.204
 -3.00	 5.50	    -21.470	    -25.361
 -3.00	 5.60	    -21.676	    -25.492
 -3.00	 5.70	    -21.726	    -25.568
 -3.00	 5.80	    -21.779	    -25.652
 -3.00	 5.90	    -21.808	    -25.725
 -3.00	 6.00	    -21.815	    -25.788
 -3.00	 6.10	    -21.837	    -25.861
 -3.00	 6.20	    -21.893	    -25.947
 -3.00	 6.30	    -22.071	    -26.083
 -3.00	 6.40	    -22.255	    -26.258
 -3.00	 6.50	    -22.399	    -26.435
 -3.00	 6.60	    -22.495	    -26.573
 -3.00	 6.70	    -22.540	    -26.676
 -3.00	 6.80	    -22.555	    -26.765
 -3.00	 6.90	    -22.545	    -26.848
 -3.00	 7.00	    -22.543	    -26.933
 -3.00	 7.10	    -22.559	    -26.977
 -3.00	 7.20	    -22.614	    -26.944
 -3.00	 7.30	    -22.657	    -26.926
 -3.00	 7.40	    -22.668	    -26.991
 -3.00	 7.50	    -22.657	    -27.088
 -3.00	 7.60	    -22.630	    -27.178
 -3.00	 7.70	    -22.596	    -27.251
 -3.00	 7.80	    -22.558	    -27.318
 -3.00	 7.90	    -22.518	    -27.384
 -3.00	 8.00	    -22.480	    -27.461
 -3.00	 8.10	    -22.440	    -27.531
 -3.00	 8.20	    -22.399	    -27.587
 -3.00	 8.30	    -22.355	    -27.633
 -3.00	 8.40	    -22.309	    -27.667
 -3.00	 8.50	    -22.263	    -27.693
 -3.00	 8.60	    -22.212	    -27.713
 -3.00	 8.70	    -22.161	    -27.729
 -3.00	 8.80	    -22.108	    -27.741
 -3.00	 8.90	    -22.052	    -27.750
 -3.00	 9.00	    -21.996	    -27.757
